EC,PRESS,TEMP,DEPTH,ALT
0.08,954.00,24.65,-0.60,505.11,
0.11,953.90,24.65,-0.60,505.98,
0.13,953.70,24.64,-0.61,507.73,
0.11,953.60,24.64,-0.61,508.61,
0.11,953.60,24.63,-0.61,508.61,
0.00,953.70,24.63,-0.61,507.73,
0.13,953.50,24.62,-0.61,509.48,
0.13,953.80,24.62,-0.61,506.86,
0.08,953.70,24.62,-0.61,507.73,
0.13,953.60,24.62,-0.61,508.61,
0.11,953.70,24.61,-0.61,507.73,
0.13,953.50,24.61,-0.61,509.48,
0.17,953.50,24.61,-0.61,509.48,
0.11,953.60,24.60,-0.61,508.61,
0.11,953.70,24.60,-0.61,507.73,
0.13,953.50,24.60,-0.61,509.48,
0.13,954.10,24.60,-0.60,504.24,
0.13,953.90,24.60,-0.60,505.98,
0.10,953.40,24.60,-0.61,510.35,
0.11,953.80,24.60,-0.61,506.86,
0.08,954.00,24.59,-0.60,505.11,
0.15,954.00,24.60,-0.60,505.11,
0.17,953.90,24.60,-0.60,505.98,
0.13,953.60,24.60,-0.61,508.61,
0.13,953.70,24.60,-0.61,507.73,
0.17,953.70,24.60,-0.61,507.73,
0.11,953.90,24.59,-0.60,505.98,
0.11,954.10,24.60,-0.60,504.24,
0.08,953.90,24.60,-0.60,505.98,
0.11,953.50,24.59,-0.61,509.48,
0.11,953.60,24.59,-0.61,508.61,
0.10,953.60,24.59,-0.61,508.61,
0.13,953.80,24.59,-0.61,506.86,
0.11,953.80,24.59,-0.61,506.86,
0.15,953.90,24.59,-0.60,505.98,
0.11,953.20,24.59,-0.61,512.10,
0.08,953.60,24.59,-0.61,508.61,
0.08,954.00,24.59,-0.60,505.11,
0.13,953.60,24.60,-0.61,508.61,
0.13,953.90,24.60,-0.60,505.98,
0.11,953.50,24.60,-0.61,509.48,
0.11,953.40,24.60,-0.61,510.35,
0.08,953.70,24.60,-0.61,507.73,
0.08,953.80,24.60,-0.61,506.86,
0.00,953.40,24.60,-0.61,510.35,
0.13,953.20,24.60,-0.61,512.10,
0.11,953.40,24.59,-0.61,510.35,
0.13,953.80,24.60,-0.61,506.86,
0.11,953.50,24.59,-0.61,509.48,
0.13,953.80,24.60,-0.61,506.86,
0.13,953.90,24.60,-0.60,505.98,
0.15,953.80,24.60,-0.61,506.86,
0.11,954.00,24.60,-0.60,505.11,
0.11,954.20,24.59,-0.60,503.36,
0.13,953.60,24.60,-0.61,508.61,
0.13,954.10,24.60,-0.60,504.24,
0.08,954.00,24.60,-0.60,505.11,
0.10,953.70,24.60,-0.61,507.73,
0.15,953.40,24.60,-0.61,510.35,
0.13,953.40,24.60,-0.61,510.35,
0.11,953.30,24.60,-0.61,511.23,
0.15,953.60,24.60,-0.61,508.61,
0.11,953.70,24.60,-0.61,507.73,
0.13,953.90,24.60,-0.60,505.98,
0.13,953.40,24.60,-0.61,510.35,
0.11,953.90,24.60,-0.60,505.98,
0.15,953.60,24.60,-0.61,508.61,
0.11,954.00,24.60,-0.60,505.11,
0.13,953.50,24.60,-0.61,509.48,
0.13,953.70,24.60,-0.61,507.73,
0.10,953.50,24.60,-0.61,509.48,
0.08,953.30,24.60,-0.61,511.23,
0.11,953.40,24.60,-0.61,510.35,
0.15,953.30,24.60,-0.61,511.23,
0.13,953.60,24.60,-0.61,508.61,
0.15,953.70,24.60,-0.61,507.73,
0.13,953.40,24.60,-0.61,510.35,
0.17,954.00,24.60,-0.60,505.11,
0.11,953.70,24.60,-0.61,507.73,
0.13,953.60,24.61,-0.61,508.61,
0.15,954.10,24.61,-0.60,504.24,
0.13,953.50,24.61,-0.61,509.48,
0.13,954.10,24.61,-0.60,504.24,
0.10,953.60,24.63,-0.61,508.61,
0.11,953.60,24.66,-0.61,508.61,
0.08,953.20,24.68,-0.61,512.10,
0.15,953.70,24.71,-0.61,507.73,
0.13,953.80,24.75,-0.61,506.86,
0.15,953.40,24.78,-0.61,510.35,
0.13,953.80,24.81,-0.61,506.86,
0.08,953.80,24.84,-0.61,506.86,
0.08,954.10,24.85,-0.60,504.24,
0.13,953.30,24.86,-0.61,511.23,
0.13,953.20,24.87,-0.61,512.10,
0.17,953.60,24.87,-0.61,508.61,
0.17,953.50,24.87,-0.61,509.48,
0.10,953.80,24.87,-0.61,506.86,
0.13,954.20,24.87,-0.60,503.36,
0.13,953.40,24.87,-0.61,510.35,
0.11,953.20,24.86,-0.61,512.10,
0.13,953.50,24.85,-0.61,509.48,
0.11,953.60,24.85,-0.61,508.61,
0.11,953.40,24.84,-0.61,510.35,
0.13,953.30,24.83,-0.61,511.23,
0.11,954.20,24.83,-0.60,503.36,
0.13,953.40,24.82,-0.61,510.35,
0.08,953.90,24.81,-0.60,505.98,
