cond_uscm,pH,pressure_mbar,temp_C,depth_m,alt_m
0.15,1.61,955.30,26.46,-0.59,493.76
0.15,8.72,955.40,26.47,-0.59,492.88
0.13,-0.99,954.50,26.49,-0.60,500.74
0.13,0.77,954.40,26.50,-0.60,501.62
0.13,1.66,954.20,26.51,-0.60,503.36
0.11,2.20,954.60,26.52,-0.60,499.87
0.11,2.54,954.80,26.53,-0.60,498.12
0.13,2.79,954.20,26.54,-0.60,503.36
0.06,2.98,954.70,26.55,-0.60,499.00
0.13,3.12,954.40,26.56,-0.60,501.62
0.11,3.22,955.00,26.58,-0.59,496.38
0.08,3.31,954.40,26.58,-0.60,501.62
0.15,3.38,954.60,26.59,-0.60,499.87
0.11,3.43,954.70,26.61,-0.60,499.00
0.08,3.47,954.50,26.61,-0.60,500.74
0.11,3.51,954.90,26.63,-0.59,497.25
0.06,3.54,955.00,26.63,-0.59,496.38
0.11,3.57,955.30,26.64,-0.59,493.76
0.08,3.59,955.30,26.65,-0.59,493.76
0.11,3.61,954.60,26.66,-0.60,499.87
0.08,3.63,954.90,26.67,-0.59,497.25
0.13,3.65,954.70,26.68,-0.60,499.00
0.13,3.66,954.70,26.69,-0.60,499.00
0.13,3.67,955.00,26.70,-0.59,496.38
0.13,3.68,954.70,26.71,-0.60,499.00
0.13,3.69,954.70,26.72,-0.60,499.00
0.13,3.70,954.80,26.73,-0.60,498.12
0.06,3.71,954.80,26.73,-0.60,498.12
0.11,3.72,954.70,26.74,-0.60,499.00
0.06,3.72,954.70,26.75,-0.60,499.00
0.15,3.73,955.10,26.76,-0.59,495.50
0.08,3.73,954.90,26.77,-0.59,497.25
0.11,3.73,954.30,26.78,-0.60,502.49
0.11,3.74,954.70,26.79,-0.60,499.00
0.13,3.74,954.90,26.80,-0.59,497.25
0.08,3.75,954.60,26.80,-0.60,499.87
0.15,3.75,954.70,26.81,-0.60,499.00
0.13,3.75,955.20,26.82,-0.59,494.63
0.13,3.75,954.80,26.83,-0.60,498.12
0.17,3.76,955.00,26.84,-0.59,496.38
0.11,3.76,955.20,26.85,-0.59,494.63
0.13,3.76,955.20,26.86,-0.59,494.63
0.11,3.76,954.70,26.87,-0.60,499.00
0.11,3.77,955.20,26.88,-0.59,494.63
0.11,3.77,955.20,26.89,-0.59,494.63
0.08,3.76,955.20,26.90,-0.59,494.63
0.13,3.77,954.70,26.91,-0.60,499.00
0.11,3.76,954.60,26.92,-0.60,499.87
0.11,3.77,955.20,26.93,-0.59,494.63
0.13,3.77,954.50,26.94,-0.60,500.74
0.13,3.76,954.90,26.95,-0.59,497.25
0.13,3.77,955.00,26.96,-0.59,496.38
0.13,3.76,954.00,26.98,-0.60,505.11
0.13,3.78,954.60,26.99,-0.60,499.87
0.11,3.80,954.70,27.00,-0.60,499.00
0.06,3.79,954.40,27.01,-0.60,501.62
0.06,3.78,954.30,27.01,-0.60,502.49
0.06,3.78,954.90,27.01,-0.59,497.25
0.13,3.77,955.10,27.01,-0.59,495.50
0.13,3.77,954.80,27.01,-0.60,498.12
0.11,3.77,955.00,27.00,-0.59,496.38
