EC,PRESS,TEMP,DEPTH,ALT
0.98,955.40,26.43,-0.59,492.88,
0.93,955.50,26.45,-0.59,492.01,
0.93,957.40,26.46,-0.57,475.45,
0.95,985.00,26.55,-0.29,237.76,
0.98,1013.80,26.88,0.01,-4.58,
0.95,1037.50,27.35,0.25,-199.85,
0.97,1074.10,27.84,0.62,-494.44,
1.00,1118.90,28.31,1.08,-844.16,
1.01,1177.30,28.75,1.68,-1283.41,
0.93,1227.60,29.15,2.19,-1647.81,
1.00,1277.90,29.53,2.71,-2000.30,
1.00,1332.50,29.88,3.27,-2370.45,
1.02,1394.70,30.20,3.90,-2777.43,
1.04,1461.00,30.49,4.58,-3195.37,
0.93,1515.80,30.76,5.14,-3529.38,
1.02,1574.40,31.01,5.74,-3875.90,
557.86,1635.90,31.23,6.37,-4228.52,
58583.26,1691.60,31.44,6.94,-4538.73,
585.00,1737.30,31.63,7.41,-4787.13,
585.00,1780.80,31.81,7.85,-5018.71,
585.20,1831.60,31.97,8.37,-5283.41,
585.30,1888.20,32.12,8.95,-5571.44,
585.20,1940.50,32.27,9.49,-5831.43,
585.20,1985.40,32.40,9.95,-6050.14,
585.30,2043.00,32.55,10.53,-6324.93,
585.40,2012.60,32.67,10.22,-6180.70,
585.50,2066.10,32.80,10.77,-6433.38,
588.00,2090.20,32.92,11.02,-6545.47,
589.30,2131.00,33.02,11.43,-6732.88,
589.30,2178.30,33.10,11.92,-6946.54,
589.30,2229.30,33.19,12.44,-7172.75,
589.30,2273.80,33.26,12.90,-7366.73,
589.30,2321.80,33.33,13.39,-7572.55,
589.50,2362.70,33.40,13.80,-7745.22,
589.50,2413.00,33.46,14.32,-7954.29,
589.60,2465.70,33.52,14.86,-8169.59,
589.50,2522.50,33.56,15.44,-8397.50,
589.70,2595.10,33.62,16.18,-8682.84,
589.70,2654.30,33.67,16.79,-8910.76,
595.10,2718.90,33.71,17.45,-9154.83,
600.90,2786.10,33.76,18.13,-9403.79,
596.20,2859.50,33.80,18.89,-9670.22,
590.00,2918.50,33.83,19.49,-9880.39,
590.40,2985.30,33.86,20.17,-10114.25,
590.60,3051.10,33.89,20.85,-10340.49,
590.80,3129.90,33.92,21.65,-10606.29,
591.10,3202.80,33.93,22.40,-10847.40,
591.20,3289.70,33.98,23.29,-11129.08,
591.50,3365.60,34.00,24.06,-11370.22,
592.30,3435.70,34.02,24.78,-11589.04,
591.80,3510.10,34.05,25.54,-11817.38,
